rec_rate,res_0.3,res_0.35,res_0.4
-4.0,1.644376843295415,1.3748955750833791,1.1628336680228162
-3.75,1.6231281797206623,1.3556566650981983,1.1448384642226779
-3.5,1.6373689809874858,1.3664565864004679,1.1535115101257216
-3.25,1.6376832792481772,1.3678097314167024,1.1555055394221287
-3.0,1.6369927284859542,1.3651595765149094,1.151647366482337
-2.75,1.6248473788699225,1.3528843001686826,1.139292130626794
-2.5,1.6381317252592063,1.3683042885013497,1.1560285682657112
-2.25,1.6426239998729022,1.3672798494136953,1.1516127864000198
-2.0,1.6641289285744332,1.3934988678897366,1.1807278622481865
-1.75,1.6558769910751916,1.380713302672702,1.1651566998056722
-1.5,1.6638800658720732,1.384935321615522,1.1670710472290107
-1.25,1.705976933605175,1.4190900033599658,1.1964238410273098
-1.0,1.7921501526534933,1.49411784406482,1.2648151849965918
-0.75,1.8751319638810036,1.5602057951881325,1.321065089409136
-0.5,2.0647513084218545,1.6892871931829756,1.4169500325219329
-0.25,2.4951693596723903,1.9789401386904657,1.6401609833198965
0.0,3.7082511849938706,2.5671578815689458,2.0480483961186664
